modelid;route_id;number_of_repetitions;number_of_successful_routes
modelid;route_id;number_of_repetitions;number_of_successful_routes
1386172427230;933;10;10
1386172427230;844;10;10
1386172427230;1186;10;10
1386172427230;1278;10;10
1386172427230;693;10;10
1386172427230;510;10;10
1386172427230;70;10;10
1386172427230;352;10;10
1386172427230;514;10;10
1386172427230;862;10;10
1386172427230;1068;10;10
1386172427230;703;10;10
1386172427230;94;10;10
1386172427230;67;10;10
1386172427230;34;10;10
1386172427230;640;10;10
1386172427230;339;10;10
1386172427230;846;10;10
1386172427230;370;10;10
1386172427230;928;10;10
1386172427230;633;10;10
1386172427230;138;10;10
1386172427230;241;10;10
1386172427230;497;10;10
1386172427230;210;10;10
1386172427230;737;10;0
1386172427230;269;10;10
1386172427230;1021;10;10
1386172427230;523;10;10
1386172427230;381;10;10
1386172427230;861;10;10
1386172427230;886;10;10
1386172427230;615;10;10
1386172427230;1001;10;10
1386172427230;423;10;10
1386172427230;765;10;10
1386172427230;805;10;10
1386172427230;489;10;10
1386172427230;167;10;10
1386172427230;1036;10;10
1386172427230;1251;10;10
1386172427230;781;10;10
1386172427230;575;10;10
1386172427230;1113;10;10
1386172427230;129;10;10
1386172427230;440;10;10
1386172427230;908;10;10
1386172427230;14;10;10
1386172427230;877;10;10
1386172427230;661;10;10
1386172427230;1229;10;10
1386172427230;953;10;10
1386172427230;858;10;10
1386172427230;568;10;10
1386172427230;164;10;10
1386172427230;631;10;10
1386172427230;910;10;10
1386172427230;981;10;10
1386172427230;529;10;10
1386172427230;746;10;10
1386172427230;344;10;10
1386172427230;374;10;10
1386172427230;832;10;10
1386172427230;1150;10;10
1386172427230;932;10;10
1386172427230;811;10;10
1386172427230;217;10;10
1386172427230;234;10;10
1386172427230;969;10;10
1386172427230;102;10;10
1386172427230;565;10;10
1386172427230;542;10;10
1386172427230;1282;10;10
1386172427230;17;10;10
1386172427230;533;10;10
1386172427230;244;10;0
1386172427230;297;10;10
1386172427230;59;10;10
1386172427230;907;10;10
1386172427230;1106;10;10
1386172427230;76;10;10
1386172427230;851;10;10
1386172427230;583;10;10
1386172427230;815;10;10
1386172427230;994;10;10
1386172427230;420;10;10
1386172427230;567;10;10
1386172427230;133;10;10
1386172427230;1037;10;10
1386172427230;452;10;10
1386172427230;935;10;10
1386172427230;749;10;10
1386172427230;116;10;10
1386172427230;245;10;10
1386172427230;834;10;10
1386172427230;597;10;10
1386172427230;176;10;10
1386172427230;779;10;10
1386172427230;460;10;10
1386172427230;729;10;10
1386172427230;360;10;10
1386172427230;543;10;10
1386172427230;750;10;10
1386172427230;224;10;10
1386172427230;1238;10;10
1386172427230;92;10;10
1386172427230;630;10;10
1386172427230;522;10;10
1386172427230;270;10;10
1386172427230;152;10;10
1386172427230;201;10;10
1386172427230;654;10;10
1386172427230;680;10;10
1386172427230;12;10;10
1386172427230;970;10;10
1386172427230;32;10;10
1386172427230;1262;10;10
1386172427230;1167;10;10
1386172427230;656;10;10
1386172427230;553;10;10
1386172427230;1102;10;10
1386172427230;1177;10;10
1386172427230;1272;10;10
1386172427230;436;10;10
1386172427230;612;10;10
1386172427230;904;10;10
1386172427230;50;10;10
1386172427230;763;10;10
1386172427230;1171;10;10
1386172427230;1203;10;10
1386172427230;913;10;10
1386172427230;637;10;10
1386172427230;770;10;10
1386172427230;959;10;10
1386172427230;614;10;10
1386172427230;660;10;10
1386172427230;125;10;10
1386172427230;1126;10;10
1386172427230;481;10;10
1386172427230;185;10;10
1386172427230;500;10;10
1386172427230;458;10;10
1386172427230;431;10;10
1386172427230;676;10;10
1386172427230;646;10;10
1386172427230;1030;10;10
1386172427230;200;10;10
1386172427230;793;10;10
1386172427230;331;10;10
1386172427230;944;10;10
1386172427230;1065;10;10
1386172427230;1174;10;10
1386172427230;961;10;10
1386172427230;273;10;10
1386172427230;524;10;10
1386172427230;1208;10;10
1386172427230;1111;10;10
1386172427230;506;10;10
1386172427230;63;10;10
1386172427230;507;10;10
1386172427230;161;10;10
1386172427230;1086;10;10
1386172427230;285;10;10
1386172427230;1127;10;10
1386172427230;428;10;10
1386172427230;903;10;10
1386172427230;556;10;10
1386172427230;255;10;10
1386172427230;1118;10;10
1386172427230;52;10;10
1386172427230;1130;10;10
1386172427230;706;10;10
1386172427230;1193;10;10
1386172427230;134;10;10
1386172427230;295;10;10
1386172427230;639;10;10
1386172427230;373;10;10
1386172427230;1012;10;10
1386172427230;852;10;10
1386172427230;911;10;10
1386172427230;368;10;10
1386172427230;1180;10;10
1386172427230;172;10;10
1386172427230;620;10;10
1386172427230;732;10;10
1386172427230;645;10;10
1386172427230;343;10;10
1386172427230;530;10;10
1386172427230;979;10;10
1386172427230;127;10;10
1386172427230;475;10;10
1386172427230;1268;10;10
1386172427230;1076;10;10
1386172427230;1230;10;10
1386172427230;223;10;10
1386172427230;809;10;10
1386172427230;698;10;10
1386172427230;419;10;10
1386172427230;173;10;10
1386172427230;965;10;10
1386172427230;601;10;10
1386172427230;266;10;10
1386172427230;798;10;10
1386172427230;740;10;10
1386172427230;119;10;10
1386172427230;1098;10;10
1386172427230;887;10;10
1386172427230;619;10;10
1386172427230;300;10;10
1386172427230;1025;10;10
1386172427230;666;10;10
1386172427230;777;10;10
1386172427230;796;10;10
1386172427230;18;10;10
1386172427230;490;10;10
1386172427230;867;10;10
1386172427230;1184;10;10
1386172427230;532;10;10
1386172427230;747;10;10
1386172427230;156;10;10
1386172427230;1038;10;10
1386172427230;653;10;10
1386172427230;1213;10;10
1386172427230;985;10;10
1386172427230;833;10;10
1386172427230;282;10;10
1386172427230;1059;10;10
1386172427230;465;10;10
1386172427230;727;10;10
1386172427230;823;10;10
1386172427230;527;10;10
1386172427230;945;10;10
1386172427230;541;10;10
1386172427230;718;10;10
1386172427230;25;10;10
1386172427230;303;10;10
1386172427230;1039;10;10
1386172427230;1045;10;10
1386172427230;494;10;10
1386172427230;1244;10;10
1386172427230;590;10;10
1386172427230;562;10;10
1386172427230;393;10;10
1386172427230;65;10;10
1386172427230;751;10;10
1386172427230;1014;10;10
1386172427230;591;10;10
1386172427230;1010;10;10
1386172427230;1016;10;10
1386172427230;175;10;10
1386172427230;540;10;10
1386172427230;895;10;10
1386172427230;1279;10;10
1386172427230;712;10;10
1386172427230;472;10;10
1386172427230;876;10;10
1386172427230;511;10;10
1386172427230;314;10;10
1386172427230;215;10;10
1386172427230;1109;10;10
1386172427230;249;10;10
1386172427230;525;10;10
1386172427230;554;10;10
1386172427230;672;10;10
1386172427230;195;10;10
1386172427230;926;10;10
1386172427230;1031;10;10
1386172427230;1018;10;10
1386172427230;787;10;10
1386172427230;1131;10;10
1386172427230;391;10;10
1386172427230;1108;10;10
1386172427230;1228;10;10
1386172427230;758;10;10
1386172427230;849;10;10
1386172427230;627;10;10
1386172427230;135;10;10
1386172427230;1099;10;10
1386172427230;1097;10;0
1386172427230;669;10;10
1386172427230;752;10;10
1386172427230;158;10;10
1386172427230;909;10;10
1386172427230;341;10;10
1386172427230;151;10;10
1386172427230;1117;10;10
1386172427230;56;10;10
1386172427230;847;10;10
1386172427230;780;10;10
1386172427230;290;10;10
1386172427230;884;10;10
1386172427230;91;10;10
1386172427230;753;10;10
1386172427230;337;10;10
1386172427230;535;10;10
1386172427230;1134;10;10
1386172427230;462;10;10
1386172427230;1235;10;10
1386172427230;294;10;10
1386172427230;382;10;10
1386172427230;1254;10;10
1386172427230;41;10;10
1386172427230;681;10;10
1386172427230;512;10;10
1386172427230;287;10;10
1386172427230;628;10;10
1386172427230;403;10;10
1386172427230;604;10;10
1386172427230;228;10;0
1386172427230;1274;10;10
1386172427230;1253;10;10
1386172427230;118;10;10
1386172427230;890;10;10
1386172427230;335;10;10
1386172427230;684;10;10
1386172427230;42;10;10
1386172427230;422;10;10
1386172427230;486;10;10
1386172427230;1216;10;10
1386172427230;268;10;10
1386172427230;101;10;10
1386172427230;20;10;10
1386172427230;1084;10;10
1386172427230;606;10;0
1386172427230;835;10;10
1386172427230;1064;10;10
1386172427230;1015;10;10
1386172427230;98;10;10
1386172427230;485;10;10
1386172427230;1198;10;10
1386172427230;1276;10;10
1386172427230;24;10;10
1386172427230;104;10;10
1386172427230;881;10;10
1386172427230;1047;10;10
1386172427230;1050;10;10
1386172427230;79;10;10
1386172427230;995;10;10
1386172427230;723;10;10
1386172427230;1211;10;10
1386172427230;11;10;10
1386172427230;329;10;10
1386172427230;434;10;10
1386172427230;573;10;10
1386172427230;312;10;10
1386172427230;899;10;10
1386172427230;836;10;10
1386172427230;432;10;10
1386172427230;878;10;10
1386172427230;274;10;10
1386172427230;492;10;10
1386172427230;1072;10;10
1386172427230;1168;10;10
1386172427230;202;10;10
1386172427230;1179;10;10
1386172427230;275;10;10
1386172427230;574;10;10
1386172427230;931;10;10
1386172427230;147;10;10
1386172427230;416;10;10
1386172427230;402;10;10
1386172427230;517;10;10
1386172427230;1060;10;10
1386172427230;442;10;10
1386172427230;773;10;10
1386172427230;896;10;10
1386172427230;211;10;10
1386172427230;220;10;10
1386172427230;49;10;10
1386172427230;362;10;10
1386172427230;582;10;10
1386172427230;917;10;10
1386172427230;1101;10;10
1386172427230;259;10;10
1386172427230;306;10;10
1386172427230;327;10;10
1386172427230;901;10;10
1386172427230;170;10;10
1386172427230;797;10;10
1386172427230;477;10;10
1386172427230;478;10;10
1386172427230;484;10;10
1386172427230;71;10;10
1386172427230;588;10;10
1386172427230;916;10;10
1386172427230;1192;10;10
1386172427230;166;10;10
1386172427230;711;10;10
1386172427230;1215;10;10
1386172427230;414;10;10
1386172427230;1281;10;10
1386172427230;1195;10;10
1386172427230;470;10;10
1386172427230;142;10;10
1386172427230;564;10;10
1386172427230;1245;10;10
1386172427230;952;10;10
1386172427230;621;10;10
1386172427230;286;10;0
1386172427230;1263;10;10
1386172427230;678;10;10
1386172427230;642;10;10
1386172427230;551;10;10
1386172427230;357;10;10
1386172427230;1089;10;10
1386172427230;760;10;10
1386172427230;1094;10;10
1386172427230;1155;10;10
1386172427230;513;10;10
1386172427230;427;10;10
1386172427230;594;10;10
1386172427230;528;10;10
1386172427230;745;10;10
1386172427230;356;10;10
1386172427230;311;10;10
1386172427230;855;10;10
1386172427230;86;10;10
1386172427230;857;10;10
1386172427230;663;10;10
1386172427230;267;10;10
1386172427230;980;10;10
1386172427230;68;10;10
1386172427230;806;10;10
1386172427230;1107;10;10
1386172427230;146;10;10
1386172427230;625;10;10
1386172427230;444;10;10
1386172427230;51;10;10
1386172427230;271;10;10
1386172427230;864;10;10
1386172427230;498;10;10
1386172427230;726;10;10
1386172427230;701;10;10
1386172427230;15;10;10
1386172427230;842;10;10
1386172427230;937;10;10
1386172427230;1027;10;10
1386172427230;923;10;10
1386172427230;62;10;10
1386172427230;493;10;10
1386172427230;435;10;10
1386172427230;1173;10;10
1386172427230;392;10;10
1386172427230;982;10;0
1386172427230;731;10;10
1386172427230;651;10;10
1386172427230;33;10;10
1386172427230;265;10;10
1386172427230;682;10;10
1386172427230;974;10;10
1386172427230;1061;10;10
1386172427230;19;10;10
1386172427230;810;10;10
1386172427230;320;10;10
1386172427230;109;10;10
1386172427230;1242;10;10
1386172427230;359;10;10
1386172427230;767;10;10
1386172427230;159;10;10
1386172427230;1091;10;10
1386172427230;153;10;10
1386172427230;141;10;10
1386172427230;1222;10;10
1386172427230;315;10;10
1386172427230;309;10;10
1386172427230;920;10;10
1386172427230;983;10;10
1386172427230;817;10;10
1386172427230;708;10;10
1386172427230;237;10;10
1386172427230;658;10;10
1386172427230;131;10;10
1386172427230;405;10;10
1386172427230;902;10;10
1386172427230;26;10;10
1386172427230;519;10;10
1386172427230;739;10;10
1386172427230;1239;10;10
1386172427230;1275;10;10
1386172427230;860;10;10
1386172427230;790;10;10
1386172427230;103;10;10
1386172427230;1249;10;10
1386172427230;1135;10;10
1386172427230;719;10;10
1386172427230;424;10;10
1386172427230;488;10;10
1386172427230;1157;10;10
1386172427230;579;10;10
1386172427230;496;10;10
1386172427230;1206;10;10
1386172427230;1240;10;10
1386172427230;108;10;10
1386172427230;827;10;10
1386172427230;1057;10;10
1386172427230;898;10;10
1386172427230;386;10;10
1386172427230;379;10;10
1386172427230;946;10;10
1386172427230;960;10;10
1386172427230;545;10;10
1386172427230;1183;10;10
1386172427230;830;10;10
1386172427230;1202;10;10
1386172427230;948;10;10
1386172427230;714;10;10
1386172427230;716;10;10
1386172427230;1129;10;10
1386172427230;238;10;10
1386172427230;665;10;10
1386172427230;1071;10;10
1386172427230;1200;10;10
1386172427230;407;10;10
1386172427230;859;10;10
1386172427230;580;10;10
1386172427230;1237;10;10
1386172427230;925;10;10
1386172427230;721;10;10
1386172427230;865;10;10
1386172427230;43;10;10
1386172427230;618;10;10
1386172427230;197;10;10
1386172427230;818;10;10
1386172427230;113;10;10
1386172427230;1048;10;10
1386172427230;1224;10;10
1386172427230;585;10;10
1386172427230;334;10;10
1386172427230;538;10;10
1386172427230;1205;10;10
1386172427230;593;10;10
1386172427230;1121;10;10
1386172427230;36;10;10
1386172427230;85;10;10
1386172427230;611;10;0
1386172427230;451;10;10
1386172427230;629;10;10
1386172427230;137;10;10
1386172427230;322;10;10
1386172427230;321;10;10
1386172427230;48;10;10
1386172427230;367;10;10
1386172427230;333;10;10
1386172427230;840;10;10
1386172427230;31;10;10
1386172427230;421;10;10
1386172427230;776;10;10
1386172427230;114;10;10
1386172427230;1080;10;10
1386172427230;495;10;0
1386172427230;251;10;10
1386172427230;1054;10;10
1386172427230;194;10;10
1386172427230;258;10;10
1386172427230;839;10;10
1386172427230;1077;10;10
1386172427230;724;10;10
1386172427230;1011;10;10
1386172427230;668;10;10
1386172427230;741;10;10
1386172427230;650;10;10
1386172427230;964;10;10
1386172427230;872;10;10
1386172427230;231;10;10
1386172427230;882;10;10
1386172427230;10;10;10
1386172427230;715;10;10
1386172427230;184;10;10
1386172427230;996;10;10
1386172427230;1221;10;10
1386172427230;534;10;10
1386172427230;560;10;10
1386172427230;644;10;10
1386172427230;473;10;10
1386172427230;837;10;10
1386172427230;445;10;10
1386172427230;1090;10;10
1386172427230;734;10;10
1386172427230;548;10;10
1386172427230;1220;10;10
1386172427230;291;10;10
1386172427230;1234;10;10
1386172427230;296;10;10
1386172427230;598;10;10
1386172427230;713;10;10
1386172427230;1264;10;10
1386172427230;1145;10;10
1386172427230;226;10;10
1386172427230;572;10;10
1386172427230;544;10;10
1386172427230;1124;10;10
1386172427230;1073;10;10
1386172427230;479;10;10
1386172427230;912;10;10
1386172427230;866;10;10
1386172427230;90;10;10
1386172427230;40;10;10
1386172427230;415;10;10
1386172427230;1248;10;10
1386172427230;897;10;10
1386172427230;448;10;10
1386172427230;246;10;10
1386172427230;483;10;10
1386172427230;963;10;10
1386172427230;831;10;10
1386172427230;536;10;10
1386172427230;692;10;10
1386172427230;689;10;10
1386172427230;999;10;10
1386172427230;395;10;10
1386172427230;505;10;10
1386172427230;307;10;10
1386172427230;399;10;10
1386172427230;743;10;10
1386172427230;971;10;10
1386172427230;521;10;10
1386172427230;707;10;10
1386172427230;1041;10;10
1386172427230;264;10;10
1386172427230;449;10;10
1386172427230;918;10;10
1386172427230;677;10;10
1386172427230;180;10;10
1386172427230;398;10;10
1386172427230;1062;10;10
1386172427230;1231;10;10
1386172427230;235;10;10
1386172427230;501;10;10
1386172427230;1013;10;10
1386172427230;39;10;10
1386172427230;807;10;10
1386172427230;1139;10;10
1386172427230;1159;10;10
1386172427230;957;10;10
1386172427230;978;10;10
1386172427230;722;10;10
1386172427230;1256;10;0
1386172427230;1257;10;10
1386172427230;868;10;10
1386172427230;1079;10;10
1386172427230;854;10;10
1386172427230;617;10;10
1386172427230;600;10;10
1386172427230;962;10;10
1386172427230;883;10;10
1386172427230;150;10;10
1386172427230;380;10;10
1386172427230;801;10;10
1386172427230;1219;10;10
1386172427230;1055;10;10
1386172427230;437;10;10
1386172427230;1259;10;10
1386172427230;691;10;10
1386172427230;555;10;10
1386172427230;1056;10;10
1386172427230;670;10;10
1386172427230;1082;10;10
1386172427230;417;10;10
1386172427230;984;10;10
1386172427230;1164;10;10
1386172427230;652;10;10
1386172427230;53;10;10
1386172427230;188;10;10
1386172427230;1169;10;10
1386172427230;1261;10;10
1386172427230;720;10;10
1386172427230;824;10;10
1386172427230;649;10;10
1386172427230;771;10;10
1386172427230;46;10;10
1386172427230;566;10;10
1386172427230;30;10;10
1386172427230;112;10;10
1386172427230;471;10;10
1386172427230;328;10;10
1386172427230;95;10;10
1386172427230;325;10;10
1386172427230;870;10;10
1386172427230;1138;10;10
1386172427230;848;10;10
1386172427230;1034;10;10
1386172427230;1223;10;10
1386172427230;1003;10;10
1386172427230;418;10;10
1386172427230;100;10;10
1386172427230;1085;10;10
1386172427230;992;10;10
1386172427230;487;10;10
1386172427230;1052;10;10
1386172427230;622;10;10
1386172427230;1258;10;10
1386172427230;891;10;10
1386172427230;3;10;10
1386172427230;871;10;10
1386172427230;455;10;10
1386172427230;182;10;10
1386172427230;1172;10;10
1386172427230;35;10;10
1386172427230;950;10;10
1386172427230;499;10;10
1386172427230;822;10;10
1386172427230;130;10;10
1386172427230;655;10;10
1386172427230;919;10;10
1386172427230;546;10;10
1386172427230;2;10;10
1386172427230;905;10;10
1386172427230;1170;10;10
1386172427230;208;10;10
1386172427230;921;10;10
1386172427230;177;10;10
1386172427230;278;10;10
1386172427230;227;10;10
1386172427230;1154;10;10
1386172427230;1046;10;10
1386172427230;193;10;10
1386172427230;1175;10;10
1386172427230;347;10;10
1386172427230;788;10;10
1386172427230;340;10;10
1386172427230;1008;10;10
1386172427230;1232;10;10
1386172427230;941;10;10
1386172427230;1176;10;10
1386172427230;276;10;10
1386172427230;930;10;10
1386172427230;1227;10;10
1386172427230;1214;10;10
1386172427230;922;10;10
1386172427230;1146;10;10
1386172427230;292;10;10
1386172427230;377;10;10
1386172427230;502;10;10
1386172427230;77;10;10
1386172427230;1066;10;10
1386172427230;975;10;10
1386172427230;768;10;10
1386172427230;1070;10;10
1386172427230;966;10;10
1386172427230;1133;10;10
1386172427230;8;10;10
1386172427230;783;10;10
1386172427230;443;10;10
1386172427230;699;10;10
1386172427230;766;10;10
1386172427230;973;10;10
1386172427230;160;10;10
1386172427230;383;10;10
1386172427230;252;10;10
1386172427230;326;10;10
1386172427230;1225;10;10
1386172427230;552;10;10
1386172427230;316;10;10
1386172427230;936;10;10
1386172427230;755;10;10
1386172427230;735;10;10
1386172427230;38;10;10
1386172427230;998;10;10
1386172427230;13;10;10
1386172427230;283;10;10
1386172427230;277;10;10
1386172427230;369;10;10
1386172427230;624;10;10
1386172427230;350;10;10
1386172427230;1241;10;10
1386172427230;1104;10;10
