modelid;route_id;number_of_repetitions;number_of_successful_routes
1386593711577;193;10;0
1386593711577;897;10;0
1386593711577;1219;10;1
1386593711577;1016;10;4
1386593711577;786;10;4
1386593711577;1085;10;3
1386593711577;1117;10;0
1386593711577;1029;10;0
1386593711577;39;10;3
1386593711577;863;10;0
1386593711577;644;10;1
1386593711577;1281;10;1
1386593711577;185;10;2
1386593711577;932;10;3
1386593711577;298;10;0
1386593711577;472;10;5
1386593711577;754;10;0
1386593711577;919;10;0
1386593711577;674;10;1
1386593711577;573;10;3
1386593711577;942;10;3
1386593711577;437;10;7
1386593711577;675;10;2
1386593711577;12;10;0
1386593711577;1014;10;0
1386593711577;530;10;9
1386593711577;871;10;10
1386593711577;35;10;2
1386593711577;963;10;0
1386593711577;1110;10;3
1386593711577;277;10;2
1386593711577;880;10;0
1386593711577;200;10;3
1386593711577;531;10;0
1386593711577;278;10;0
1386593711577;414;10;6
1386593711577;705;10;0
1386593711577;19;10;5
1386593711577;1275;10;7
1386593711577;529;10;0
1386593711577;676;10;3
1386593711577;1060;10;0
1386593711577;994;10;6
1386593711577;1233;10;3
1386593711577;607;10;5
1386593711577;1073;10;3
1386593711577;912;10;5
1386593711577;1215;10;0
1386593711577;706;10;1
1386593711577;204;10;1
1386593711577;1184;10;1
1386593711577;522;10;0
1386593711577;874;10;0
1386593711577;1148;10;0
1386593711577;1199;10;6
1386593711577;335;10;3
1386593711577;381;10;5
1386593711577;866;10;1
1386593711577;255;10;7
1386593711577;752;10;2
1386593711577;491;10;2
1386593711577;188;10;0
1386593711577;36;10;3
1386593711577;187;10;3
1386593711577;824;10;1
1386593711577;370;10;0
1386593711577;119;10;6
1386593711577;1266;10;3
1386593711577;1020;10;0
1386593711577;1081;10;6
1386593711577;307;10;0
1386593711577;978;10;7
1386593711577;1023;10;0
1386593711577;295;10;1
1386593711577;390;10;2
1386593711577;120;10;9
1386593711577;1214;10;1
1386593711577;914;10;1
1386593711577;1100;10;1
1386593711577;657;10;3
1386593711577;331;10;3
1386593711577;719;10;1
1386593711577;933;10;2
1386593711577;214;10;6
1386593711577;102;10;1
1386593711577;43;10;1
1386593711577;1135;10;2
1386593711577;508;10;2
1386593711577;395;10;2
1386593711577;730;10;4
1386593711577;288;10;1
1386593711577;490;10;1
1386593711577;1210;10;4
1386593711577;1004;10;0
1386593711577;1042;10;2
1386593711577;475;10;0
1386593711577;428;10;0
1386593711577;911;10;1
1386593711577;889;10;2
1386593711577;1053;10;3
1386593711577;996;10;7
1386593711577;1179;10;5
1386593711577;245;10;0
1386593711577;929;10;4
1386593711577;1272;10;0
1386593711577;992;10;6
1386593711577;330;10;3
1386593711577;394;10;3
1386593711577;142;10;1
1386593711577;683;10;0
1386593711577;1238;10;0
1386593711577;788;10;2
1386593711577;506;10;4
1386593711577;402;10;2
1386593711577;652;10;0
1386593711577;1257;10;0
1386593711577;559;10;7
1386593711577;654;10;0
1386593711577;553;10;2
1386593711577;1176;10;1
1386593711577;557;10;1
1386593711577;1062;10;0
1386593711577;958;10;3
1386593711577;662;10;1
1386593711577;1083;10;3
1386593711577;1019;10;0
1386593711577;1003;10;2
1386593711577;862;10;2
1386593711577;231;10;9
1386593711577;555;10;0
1386593711577;324;10;0
1386593711577;976;10;0
1386593711577;800;10;2
1386593711577;926;10;1
1386593711577;748;10;0
1386593711577;1018;10;2
1386593711577;123;10;2
1386593711577;1194;10;4
1386593711577;835;10;6
1386593711577;635;10;3
1386593711577;175;10;4
1386593711577;751;10;1
1386593711577;961;10;2
1386593711577;500;10;0
1386593711577;695;10;1
1386593711577;1202;10;8
1386593711577;87;10;0
1386593711577;165;10;2
1386593711577;527;10;4
1386593711577;943;10;1
1386593711577;858;10;6
1386593711577;398;10;4
1386593711577;9;10;1
1386593711577;982;10;0
1386593711577;438;10;0
1386593711577;773;10;1
1386593711577;318;10;1
1386593711577;389;10;2
1386593711577;1217;10;0
1386593711577;46;10;3
1386593711577;795;10;0
1386593711577;446;10;1
1386593711577;637;10;7
1386593711577;1164;10;1
1386593711577;1013;10;4
1386593711577;373;10;3
1386593711577;499;10;0
1386593711577;110;10;2
1386593711577;23;10;0
1386593711577;528;10;0
1386593711577;232;10;2
1386593711577;17;10;1
1386593711577;899;10;0
1386593711577;998;10;0
1386593711577;143;10;0
1386593711577;672;10;0
1386593711577;548;10;0
1386593711577;1068;10;0
1386593711577;680;10;2
1386593711577;451;10;6
1386593711577;1183;10;3
1386593711577;40;10;3
1386593711577;904;10;0
1386593711577;236;10;5
1386593711577;570;10;2
1386593711577;1235;10;6
1386593711577;1240;10;0
1386593711577;1024;10;1
1386593711577;1057;10;5
1386593711577;194;10;5
1386593711577;724;10;0
1386593711577;855;10;1
1386593711577;352;10;10
1386593711577;487;10;7
1386593711577;76;10;0
1386593711577;951;10;3
1386593711577;147;10;6
1386593711577;1098;10;2
1386593711577;551;10;0
1386593711577;68;10;0
1386593711577;775;10;1
1386593711577;1204;10;0
1386593711577;698;10;2
1386593711577;624;10;0
1386593711577;1247;10;1
1386593711577;52;10;1
1386593711577;653;10;0
1386593711577;811;10;3
1386593711577;869;10;7
1386593711577;404;10;7
1386593711577;890;10;4
1386593711577;684;10;1
1386593711577;306;10;1
1386593711577;757;10;0
1386593711577;1030;10;0
1386593711577;476;10;0
1386593711577;699;10;0
1386593711577;940;10;0
1386593711577;544;10;2
1386593711577;673;10;0
1386593711577;85;10;0
1386593711577;1261;10;1
1386593711577;512;10;4
1386593711577;587;10;4
1386593711577;478;10;0
1386593711577;1119;10;1
1386593711577;620;10;4
1386593711577;421;10;1
1386593711577;1224;10;0
1386593711577;484;10;2
1386593711577;440;10;2
1386593711577;1072;10;3
1386593711577;1147;10;1
1386593711577;455;10;0
1386593711577;989;10;0
1386593711577;248;10;3
1386593711577;220;10;1
1386593711577;429;10;1
1386593711577;1243;10;4
1386593711577;463;10;1
1386593711577;879;10;0
1386593711577;1229;10;1
1386593711577;631;10;0
1386593711577;864;10;3
1386593711577;651;10;2
1386593711577;1251;10;1
1386593711577;646;10;1
1386593711577;241;10;0
1386593711577;509;10;0
1386593711577;696;10;4
1386593711577;246;10;2
1386593711577;784;10;2
1386593711577;164;10;7
1386593711577;452;10;1
1386593711577;112;10;0
1386593711577;765;10;5
1386593711577;970;10;0
1386593711577;286;10;0
1386593711577;158;10;0
1386593711577;1021;10;1
1386593711577;1245;10;0
1386593711577;163;10;3
1386593711577;371;10;2
1386593711577;638;10;2
1386593711577;1022;10;2
1386593711577;536;10;5
1386593711577;1137;10;2
1386593711577;1033;10;2
1386593711577;626;10;0
1386593711577;1127;10;1
1386593711577;849;10;1
1386593711577;405;10;2
1386593711577;743;10;10
1386593711577;168;10;3
1386593711577;981;10;2
1386593711577;134;10;0
1386593711577;1270;10;1
1386593711577;561;10;3
1386593711577;777;10;0
1386593711577;690;10;4
1386593711577;1259;10;3
1386593711577;1031;10;2
1386593711577;300;10;0
1386593711577;602;10;0
1386593711577;279;10;4
1386593711577;568;10;1
1386593711577;1263;10;4
1386593711577;360;10;4
1386593711577;82;10;0
1386593711577;458;10;0
1386593711577;556;10;1
1386593711577;6;10;7
1386593711577;423;10;2
1386593711577;960;10;1
1386593711577;1282;10;2
1386593711577;480;10;3
1386593711577;569;10;0
1386593711577;605;10;3
1386593711577;233;10;0
1386593711577;289;10;6
1386593711577;663;10;2
1386593711577;713;10;2
1386593711577;576;10;0
1386593711577;1279;10;0
1386593711577;711;10;0
1386593711577;129;10;2
1386593711577;290;10;0
1386593711577;13;10;0
1386593711577;1038;10;0
1386593711577;1136;10;1
1386593711577;520;10;3
1386593711577;677;10;1
1386593711577;1138;10;1
1386593711577;761;10;0
1386593711577;518;10;0
1386593711577;138;10;0
1386593711577;254;10;1
1386593711577;376;10;1
1386593711577;450;10;1
1386593711577;847;10;0
1386593711577;581;10;3
1386593711577;20;10;0
1386593711577;1115;10;1
1386593711577;285;10;1
1386593711577;516;10;0
1386593711577;785;10;0
1386593711577;280;10;1
1386593711577;821;10;3
1386593711577;1065;10;1
1386593711577;741;10;3
1386593711577;599;10;2
1386593711577;425;10;2
1386593711577;196;10;3
1386593711577;658;10;5
1386593711577;999;10;2
1386593711577;332;10;1
1386593711577;1125;10;2
1386593711577;538;10;0
1386593711577;1052;10;4
1386593711577;442;10;2
1386593711577;1173;10;4
1386593711577;24;10;0
1386593711577;1080;10;0
1386593711577;1201;10;0
1386593711577;149;10;2
1386593711577;721;10;0
1386593711577;1056;10;10
1386593711577;296;10;0
1386593711577;906;10;2
1386593711577;227;10;0
1386593711577;11;10;5
1386593711577;336;10;2
1386593711577;259;10;4
1386593711577;207;10;0
1386593711577;1010;10;1
1386593711577;1260;10;0
1386593711577;358;10;0
1386593711577;1109;10;0
1386593711577;1025;10;0
1386593711577;137;10;1
1386593711577;1280;10;1
1386593711577;726;10;0
1386593711577;393;10;0
1386593711577;878;10;0
1386593711577;625;10;2
1386593711577;366;10;8
1386593711577;1151;10;2
1386593711577;100;10;1
1386593711577;1097;10;0
1386593711577;21;10;3
1386593711577;885;10;0
1386593711577;8;10;0
1386593711577;745;10;2
1386593711577;747;10;0
1386593711577;61;10;2
1386593711577;495;10;0
1386593711577;228;10;0
1386593711577;1237;10;1
1386593711577;1242;10;2
1386593711577;1174;10;5
1386593711577;744;10;0
1386593711577;1172;10;2
1386593711577;616;10;0
1386593711577;790;10;1
1386593711577;1086;10;6
1386593711577;1231;10;0
1386593711577;1082;10;1
1386593711577;967;10;0
1386593711577;1113;10;5
1386593711577;460;10;4
1386593711577;1271;10;0
1386593711577;783;10;0
1386593711577;736;10;6
1386593711577;1157;10;0
1386593711577;1032;10;6
1386593711577;927;10;2
1386593711577;369;10;8
1386593711577;388;10;3
1386593711577;600;10;5
1386593711577;144;10;1
1386593711577;712;10;2
1386593711577;916;10;1
1386593711577;195;10;1
1386593711577;118;10;6
1386593711577;1067;10;1
1386593711577;211;10;0
1386593711577;875;10;0
1386593711577;634;10;0
1386593711577;971;10;4
1386593711577;931;10;1
1386593711577;152;10;0
1386593711577;151;10;2
1386593711577;903;10;2
1386593711577;271;10;6
1386593711577;173;10;1
1386593711577;441;10;3
1386593711577;445;10;1
1386593711577;965;10;0
1386593711577;109;10;0
1386593711577;609;10;3
1386593711577;517;10;1
1386593711577;171;10;0
1386593711577;597;10;0
1386593711577;566;10;3
1386593711577;454;10;0
1386593711577;1178;10;1
1386593711577;964;10;2
1386593711577;183;10;0
1386593711577;212;10;1
1386593711577;519;10;3
1386593711577;329;10;0
1386593711577;453;10;0
1386593711577;97;10;0
1386593711577;485;10;0
1386593711577;759;10;0
1386593711577;764;10;0
1386593711577;199;10;0
1386593711577;521;10;2
1386593711577;560;10;1
1386593711577;339;10;1
1386593711577;636;10;0
1386593711577;237;10;4
1386593711577;249;10;2
1386593711577;406;10;0
1386593711577;418;10;2
1386593711577;153;10;3
1386593711577;29;10;1
1386593711577;148;10;8
1386593711577;111;10;0
1386593711577;818;10;1
1386593711577;870;10;1
1386593711577;1066;10;2
1386593711577;993;10;2
1386593711577;572;10;5
1386593711577;630;10;0
1386593711577;1269;10;0
1386593711577;990;10;0
1386593711577;235;10;3
1386593711577;1126;10;0
1386593711577;382;10;0
1386593711577;813;10;0
1386593711577;1218;10;0
1386593711577;820;10;5
1386593711577;244;10;0
1386593711577;523;10;8
1386593711577;146;10;3
1386593711577;1106;10;8
1386593711577;1206;10;5
1386593711577;571;10;7
1386593711577;18;10;2
1386593711577;103;10;1
1386593711577;659;10;0
1386593711577;787;10;0
1386593711577;618;10;5
