modelid;route_id;number_of_repetitions;number_of_successful_routes
1386587910310;583;10;0
1386587910310;20;10;0
1386587910310;822;10;0
1386587910310;153;10;0
1386587910310;927;10;0
1386587910310;436;10;0
1386587910310;564;10;0
1386587910310;345;10;0
1386587910310;1055;10;0
1386587910310;1240;10;0
1386587910310;72;10;0
1386587910310;914;10;0
1386587910310;690;10;0
1386587910310;1067;10;0
1386587910310;859;10;0
1386587910310;814;10;0
1386587910310;80;10;0
1386587910310;294;10;0
1386587910310;681;10;0
1386587910310;289;10;0
1386587910310;378;10;0
1386587910310;717;10;0
1386587910310;362;10;0
1386587910310;556;10;0
1386587910310;89;10;1
1386587910310;663;10;0
1386587910310;6;10;0
1386587910310;1224;10;0
1386587910310;568;10;0
1386587910310;307;10;0
1386587910310;499;10;0
1386587910310;456;10;0
1386587910310;1025;10;0
1386587910310;962;10;0
1386587910310;64;10;0
1386587910310;977;10;0
1386587910310;1021;10;0
1386587910310;946;10;0
1386587910310;815;10;0
1386587910310;194;10;0
1386587910310;102;10;0
1386587910310;892;10;0
1386587910310;631;10;0
1386587910310;1071;10;0
1386587910310;489;10;0
1386587910310;1104;10;0
1386587910310;1106;10;0
1386587910310;224;10;0
1386587910310;1085;10;0
1386587910310;123;10;0
1386587910310;587;10;0
1386587910310;1107;10;0
1386587910310;798;10;0
1386587910310;71;10;0
1386587910310;1216;10;0
1386587910310;565;10;0
1386587910310;66;10;0
1386587910310;1028;10;0
1386587910310;705;10;0
1386587910310;1169;10;0
1386587910310;1202;10;0
1386587910310;1075;10;0
1386587910310;301;10;0
1386587910310;502;10;0
1386587910310;314;10;0
1386587910310;801;10;0
1386587910310;820;10;0
1386587910310;687;10;0
1386587910310;1063;10;0
1386587910310;298;10;0
1386587910310;698;10;0
1386587910310;351;10;0
1386587910310;919;10;0
1386587910310;361;10;0
1386587910310;166;10;0
1386587910310;895;10;0
1386587910310;752;10;0
1386587910310;621;10;0
1386587910310;277;10;0
1386587910310;279;10;0
1386587910310;3;10;0
1386587910310;604;10;0
1386587910310;271;10;0
1386587910310;445;10;0
1386587910310;175;10;0
1386587910310;860;10;0
1386587910310;1220;10;0
1386587910310;270;10;0
1386587910310;483;10;0
1386587910310;37;10;0
1386587910310;109;10;0
1386587910310;473;10;0
1386587910310;1145;10;0
1386587910310;24;10;0
1386587910310;403;10;0
1386587910310;647;10;0
1386587910310;65;10;0
1386587910310;266;10;0
1386587910310;216;10;0
1386587910310;834;10;0
1386587910310;964;10;0
1386587910310;986;10;0
1386587910310;1178;10;0
1386587910310;612;10;5
1386587910310;771;10;0
1386587910310;727;10;0
1386587910310;907;10;0
1386587910310;241;10;0
1386587910310;783;10;0
1386587910310;1280;10;0
1386587910310;100;10;0
1386587910310;1267;10;0
1386587910310;973;10;0
1386587910310;635;10;0
1386587910310;1276;10;0
1386587910310;664;10;0
1386587910310;733;10;0
1386587910310;164;10;0
1386587910310;39;10;0
1386587910310;588;10;0
1386587910310;968;10;0
1386587910310;923;10;0
1386587910310;802;10;0
1386587910310;387;10;0
1386587910310;858;10;0
1386587910310;1139;10;0
1386587910310;505;10;0
1386587910310;59;10;0
1386587910310;941;10;0
1386587910310;1282;10;0
1386587910310;543;10;0
1386587910310;913;10;0
1386587910310;1009;10;0
1386587910310;462;10;0
1386587910310;697;10;0
1386587910310;1144;10;0
1386587910310;1200;10;0
1386587910310;1062;10;0
1386587910310;990;10;0
1386587910310;831;10;0
1386587910310;1210;10;0
1386587910310;97;10;0
1386587910310;642;10;0
1386587910310;978;10;0
1386587910310;57;10;0
1386587910310;748;10;0
1386587910310;240;10;0
1386587910310;219;10;0
1386587910310;23;10;0
1386587910310;628;10;0
1386587910310;118;10;0
1386587910310;180;10;0
1386587910310;183;10;0
1386587910310;477;10;0
1386587910310;679;10;0
1386587910310;758;10;0
1386587910310;233;10;0
1386587910310;535;10;0
1386587910310;529;10;0
1386587910310;179;10;0
1386587910310;357;10;0
1386587910310;125;10;0
1386587910310;1217;10;0
1386587910310;969;10;0
1386587910310;1004;10;0
1386587910310;523;10;0
1386587910310;750;10;0
1386587910310;533;10;0
1386587910310;139;10;0
1386587910310;349;10;0
1386587910310;364;10;0
1386587910310;471;10;0
1386587910310;377;10;0
1386587910310;547;10;0
1386587910310;1087;10;0
1386587910310;1262;10;0
1386587910310;1278;10;0
1386587910310;1017;10;0
1386587910310;897;10;0
1386587910310;1167;10;0
1386587910310;835;10;0
1386587910310;581;10;0
1386587910310;646;10;0
1386587910310;983;10;0
1386587910310;851;10;0
1386587910310;176;10;0
1386587910310;746;10;0
1386587910310;491;10;0
1386587910310;866;10;0
1386587910310;354;10;0
1386587910310;303;10;0
1386587910310;249;10;0
1386587910310;1209;10;0
1386587910310;708;10;0
1386587910310;1166;10;0
1386587910310;449;10;0
1386587910310;360;10;0
1386587910310;425;10;0
1386587910310;493;10;0
1386587910310;158;10;0
1386587910310;264;10;0
1386587910310;939;10;0
1386587910310;731;10;0
1386587910310;22;10;0
1386587910310;682;10;0
1386587910310;600;10;0
1386587910310;992;10;0
1386587910310;1131;10;0
1386587910310;1149;10;0
1386587910310;916;10;0
1386587910310;441;10;0
1386587910310;281;10;0
1386587910310;1084;10;0
1386587910310;755;10;0
1386587910310;338;10;0
1386587910310;68;10;0
1386587910310;555;10;0
1386587910310;1174;10;0
1386587910310;225;10;1
1386587910310;53;10;0
1386587910310;258;10;0
1386587910310;1168;10;0
1386587910310;1241;10;0
1386587910310;432;10;0
1386587910310;842;10;0
1386587910310;627;10;0
1386587910310;372;10;0
1386587910310;613;10;0
1386587910310;868;10;0
1386587910310;723;10;0
1386587910310;280;10;0
1386587910310;1124;10;0
1386587910310;1030;10;0
1386587910310;932;10;0
1386587910310;458;10;0
1386587910310;1248;10;0
1386587910310;54;10;0
1386587910310;1;10;0
1386587910310;282;10;0
1386587910310;805;10;0
1386587910310;742;10;0
1386587910310;640;10;0
1386587910310;496;10;0
1386587910310;524;10;0
1386587910310;519;10;0
1386587910310;1208;10;0
1386587910310;202;10;0
1386587910310;141;10;0
1386587910310;431;10;0
